age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
18,F,XW0DQ7H,Village,4,17-08-2017,0,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,16:08:02,17,300.63,53005.25,17,781.75,1,Yes,0,1,0,0
44,F,1F2TCL3,Town,0,11-11-2016,1,CID12313,Gift Vouchers/Coupons,Desktop,Wi-Fi,22:53:21,14,516.16,21027.0,22,500.69,0,Yes,1,3,2,1
37,M,VJGJ33N,City,0,29-10-2016,1,CID3793,Gift Vouchers/Coupons,Desktop,Mobile_Data,15:57:50,11,53.27,25239.56,6,567.66,0,Yes,1,4,2,1
31,F,SVZXCWB,City,0,12-09-2017,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,15:46:44,20,113.13,24483.66,16,663.06,0,Yes,1,2,2,1
13,M,PSG1LGF,City,3,08-01-2016,0,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,6:46:07,23,433.62,13884.77,24,722.27,1,No,1,4,1,0
21,M,R3CX1EA,Town,3,19-03-2015,1,CID24708,Gift Vouchers/Coupons,Desktop,Mobile_Data,11:40:04,10,55.38,8982.5,28,756.21,1,No,1,3,1,0
45,F,ZHP4MCR,Town,0,30-11-2016,0,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,19:10:16,10,97.31,19244.16,28,706.23,0,Yes,1,0,2,1
25,F,OKZ6GDD,Village,1,22-05-2016,1,CID19275,Gift Vouchers/Coupons,Both,Wi-Fi,5:57:20,14,570.23,35119.93,8,699.7,1,Yes,0,1,2,1
60,M,KPI9DD5,City,3,13-01-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11:56:11,14,55.53,41672.02,33.02434314,798.12,1,No,0,1,2,0
11,M,G2FTZTL,Town,0,31-01-2015,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,4:42:50,13,41.09,44007.18,18,608.26,1,No,1,4,2,1
11,M,3GHN9RC,Town,2,02-01-2017,1,CID22930,Gift Vouchers/Coupons,?,Wi-Fi,3:42:26,12,275.13,29072.86,26,733.97,1,No,0,1,2,0
39,M,DYK6E24,Town,0,01-11-2017,0,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15:39:05,9,241.74,33170.16,6,551.11,1,No,1,0,1,1
45,M,XYB1CDG,City,5,03-02-2016,0,xxxxxxxx,Without Offers,?,Mobile_Data,11:46:54,14,31.15,66982.61,8,164.800769,1,No,1,4,0,0
33,M,7L21LW8,Village,0,03-12-2015,0,xxxxxxxx,Without Offers,Desktop,Wi-Fi,18:50:35,15,49.86,44289.97,25,703.96,1,No,0,1,2,1
30,M,B6OEP7V,Village,0,29-07-2016,1,CID53809,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8:55:48,21,30.37,49404.86,23,630.61,1,No,1,0,2,1
19,F,6EV1QAQ,Town,4,22-01-2017,0,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,23:04:40,15,483.03,52702.67,3,389.3564432,0,Yes,1,0,0,0
48,M,GX2SOJ5,Town,1,10-11-2017,1,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,19:10:29,12,72.52,15860.41,3.207385793,529.03,0,Yes,0,1,1,0
43,M,X0YDRG9,City,0,14-08-2015,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,6:23:02,17,108.3,21725.57,21,225.0044276,0,Yes,0,1,2,1
29,F,5SWULVO,Town,2,09-04-2016,0,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,20:56:20,18,300.38,12069.06,7,777.31,0,Yes,0,1,2,0
10,M,3I9LEFE,City,3,10-11-2015,1,CID60798,Credit/Debit Card Offers,?,Wi-Fi,17:25:38,1,100.65,8515.5,6,757.7,1,No,0,1,1,0
20,F,UOAPI3L,Village,0,08-12-2016,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,18:29:25,22,272.31,42743.44,12,687.26,1,No,0,1,2,1
10,M,96ZHX6P,Town,3,12-01-2016,0,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,10:16:14,4,127.37,15719.24,10,634.88,1,No,1,4,2,1
11,F,ZYEBIID,,3,28-07-2016,1,CID26584,Without Offers,Desktop,Wi-Fi,9:36:43,10,185.53,60143.68,4,836.08,1,No,1,3,0,0
60,M,EUGPHWZ,City,3,02-07-2017,1,CID45046,Gift Vouchers/Coupons,Both,Fiber_Optic,2:31:33,11,537.25,1773.49,6,711.76,1,Yes,0,1,2,0
12,M,ZQJOXJX,City,5,02-03-2015,0,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,21:45:25,8,198.26,26105.24,7,721.36,1,No,0,1,2,0
52,M,C229QZZ,Town,2,08-10-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,23:17:22,9,119.47,10101.48,28,158.5477645,1,No,0,1,2,1
30,M,U49RAKX,City,1,13-10-2016,1,CID37735,Gift Vouchers/Coupons,Smartphone,Mobile_Data,22:46:55,15,68.19,21111.9,23,574.01,1,Yes,1,3,2,1
26,F,FRAOIDA,Town,0,01-07-2017,1,CID26444,Without Offers,Desktop,Wi-Fi,4:16:41,20,194.85,5912.06,13,568.34,1,No,0,1,2,1
17,M,EJMEVHN,City,4,20-12-2015,0,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,1:51:39,6,348.07,94100.72,4,824.95,1,Yes,0,1,0,0
58,F,FBG1O5D,Village,3,09-11-2017,0,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,21:21:14,11,30.78,48080.03,10,713.62,1,No,0,1,2,0
41,M,ZQ2RGSW,Town,4,20-11-2016,0,xxxxxxxx,Without Offers,Both,Fiber_Optic,23:21:15,13,282.87,27528.03,27,743.8,1,No,0,1,2,0
38,M,B2MID6G,Town,3,15-10-2017,0,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12:05:44,8,324.75,28535.13,27,770.31,1,Yes,1,2,2,0
